"Path","PSIsContainer","Length","MtimeUtc"
"knowledge.js.bak","False","187562","2026-09-24T12:35:01.5172260Z"
"labs.css","False","1205","2026-09-26T01:55:48.0224740Z"
"learn-brand.css","False","1396","2026-09-24T14:57:58.0326280Z"
"learn-browse.html","False","21461","2026-09-26T01:55:48.4581810Z"
"learn-capstones.html","False","1519","2026-09-26T01:55:48.4787180Z"
"learn-glossary.html","False","21466","2026-09-26T01:55:48.5168460Z"
"learn-labs.html","False","21460","2026-09-26T01:55:48.5551590Z"
"learn-map.html","False","21456","2026-09-26T01:55:48.6047090Z"
"learn-mastery.html","False","21455","2026-09-26T01:55:48.6392800Z"
"learn-paths.html","False","19735","2026-09-26T01:55:48.6692510Z"
"learn-practice.html","False","21456","2026-09-26T01:55:48.7199520Z"
"learn-verify.html","False","21458","2026-09-26T01:55:48.7567400Z"
"learn.html","False","21541","2026-09-26T01:55:48.8086400Z"
"learn.html.bak","False","21048","2026-09-24T12:35:01.5330370Z"
"learn.html.before-header-type-20260924-062338","False","21045","2026-09-24T13:09:52.2732420Z"
"learning-capstones.css","False","2740","2026-09-26T01:55:48.0351830Z"
"learning-capstones.js","False","4310","2026-09-26T01:55:48.0480000Z"
"learning-capstones.json","False","18541","2026-09-26T01:55:48.0628620Z"
"learning-depth.css","False","9190","2026-09-26T01:55:48.0776440Z"
"learning-depth.js","False","9413","2026-09-26T01:55:48.0913170Z"
"learning-depth.js.bak","False","9733","2026-09-24T12:35:01.5250700Z"
"learning-next.css","False","2781","2026-09-26T01:55:48.1044090Z"
"learning-next.js","False","7601","2026-09-26T01:55:48.1172380Z"
"lesson-header-controls.js","False","1099","2026-09-24T15:09:28.2952890Z"
"NEXT-RELEASE-NOTES.md","False","5711","2026-09-22T20:33:59.8751280Z"
"osu-logo.png","False","10683","2026-06-04T06:14:13.7068180Z"
"play-evil-wizard.html","False","7608","2026-09-26T01:55:48.8445860Z"
"portfolio-home.css","False","28255","2026-09-26T01:55:48.1303560Z"
"portfolio-next.css","False","32226","2026-09-26T01:55:48.1445460Z"
"portfolio-next.js","False","18591","2026-09-26T01:55:48.1588700Z"
"project-advanced-computing.html","False","4940","2026-09-26T01:55:48.8969860Z"
"project-asset-inventory.html","False","4657","2026-09-26T01:55:48.9432820Z"
"project-battle-chess.html","False","8768","2026-09-26T01:55:48.9631510Z"
"project-battle-chess.html.before-clear-glass-20260924-062614","False","8854","2026-09-24T13:18:12.1879000Z"
"project-dependency.html","False","6085","2026-09-26T01:55:49.0168480Z"
"project-emergent.html","False","5913","2026-09-26T01:55:49.0562840Z"
"project-fusion.html","False","5201","2026-09-26T01:55:49.0849140Z"
"project-geometric-ai.html","False","5321","2026-09-26T01:55:49.1021680Z"
"project-kubernetes-lab.html","False","4646","2026-09-26T01:55:49.1526190Z"
"project-learning-library.html","False","4867","2026-09-26T01:55:49.1751140Z"
"project-lifecycle.html","False","6158","2026-09-26T01:55:49.2006710Z"
"project-mind.html","False","5211","2026-09-26T01:55:49.2455530Z"
"project-portfolio.html","False","5310","2026-09-26T01:55:49.2805330Z"
"project-qpe.html","False","6055","2026-09-26T01:55:49.3101100Z"
"project-qubit.html","False","4973","2026-09-26T01:55:49.3607290Z"
"project-recovery.html","False","5759","2026-09-26T01:55:49.3843660Z"
"projects-before-battle-chess.html","False","11242","2026-09-22T12:30:37.0056730Z"
"projects-before-chess-source.html","False","11718","2026-09-22T12:30:37.0139900Z"
"projects-before-source-arrow.html","False","11851","2026-09-22T12:30:37.0224800Z"
"projects-qubit-backup-20260921-224301.html","False","19934","2026-09-22T05:37:38.3412930Z"
"projects.backup-before-game-20260913-110537.html","False","19193","2026-09-13T17:50:48.7981068Z"
"projects.backup-before-web-game-20260913-114339.html","False","19814","2026-09-13T18:05:38.8812230Z"
"projects.html","False","15703","2026-09-26T01:55:49.3972450Z"
"quantum-cube.js","False","6470","2026-09-26T01:55:48.1729200Z"
"quantum2.jpg","False","147787","2026-06-04T13:04:41.3787060Z"
"README_DEPLOY_THIS_EXACTLY.txt","False","1207","2026-09-07T06:19:54.8560990Z"
"README_FIRST.txt","False","6121","2026-09-07T06:16:26.6724040Z"
"README_KNOWLEDGE_PLATFORM.txt","False","1248","2026-09-26T01:55:45.6214890Z"
"RELEASE_NOTES_v0.2.0.txt","False","1232","2026-09-07T06:16:26.9194720Z"
"resume.html","False","19197","2026-09-26T01:55:49.4234770Z"
"science-experiments.css","False","8886","2026-09-26T01:55:48.2314760Z"
"science-experiments.js","False","15397","2026-09-26T01:55:48.2472050Z"
"site-audio.js","False","16654","2026-09-26T01:55:48.2621780Z"
"site-resilience.css","False","10390","2026-09-26T01:55:48.2769060Z"
"site-resilience.js","False","5643","2026-09-26T01:55:48.2913630Z"
"site-scenes.css","False","53361","2026-09-26T01:55:48.3064260Z"
"site-scenes.js","False","43376","2026-09-26T01:55:48.3208830Z"
"site-sound-control.js","False","6958","2026-09-26T01:55:48.3292120Z"
"site-theme.js","False","5506","2026-09-26T01:55:48.3413830Z"
"styles.css","False","20030","2026-09-26T01:55:48.3542140Z"
"Thumbs.db","False","46080","2026-06-09T01:06:15.0350000Z"
"VALIDATION_v0.2.0.txt","False","1233","2026-09-07T06:16:27.1647570Z"
"verification-manifest.json","False","4209914","2026-09-26T01:55:48.3860940Z"
"assets/audio","True",,"2026-09-26T01:55:45.7415590Z"
"assets/fonts","True",,"2026-09-26T01:55:45.9562160Z"
"assets/scenes","True",,"2026-09-26T01:55:46.1660180Z"
"assets/favicon.svg","False","198","2026-09-26T01:55:45.7558550Z"
"assets/fusion-presentation.mp4","False","168678432","2026-09-06T21:38:17.1829980Z"
"assets/Joshua_Randall_Master_Resume.docx","False","37409","2026-09-26T01:55:45.6758510Z"
"assets/joshua-randall-cutout.svg","False","822","2026-09-26T01:55:45.9676410Z"
"assets/joshua-randall-cutout.webp","False","15007","2026-09-26T01:55:45.9827750Z"
"assets/joshua-randall-headshot.jpg","False","89637","2026-09-26T01:55:46.0029570Z"
"assets/osu-logo.png","False","10683","2026-09-26T01:55:46.0186130Z"
"assets/portrait.jpg","False","308295","2026-09-26T01:55:46.0366790Z"
"assets/quantum-field-notes.jpg","False","385329","2026-09-26T01:55:46.0559770Z"
"assets/quantum-lab-reference.jpg","False","521152","2026-09-26T01:55:46.0764950Z"
"assets/quantum2.jpg","False","147787","2026-09-26T01:55:46.0960160Z"
"assets/Recovery_Readiness_Auditor.zip","False","8597","2026-09-06T21:38:09.5000280Z"
"assets/systems-lab.jpg","False","279447","2026-09-26T01:55:46.1800960Z"
"assets/audio/beach-birds.mp3","False","1579968","2026-09-24T16:45:01.8158720Z"
"assets/audio/beach-waves.mp3","False","4107072","2026-09-24T16:45:01.7610050Z"
"assets/audio/beach.mp3","False","2303040","2026-09-24T18:03:20.6130480Z"
"assets/audio/dark-theme-user.mp3","False","483831","2026-09-26T01:55:45.6994810Z"
"assets/audio/dark-theme-user.wav","False","3002348","2026-09-26T01:55:45.7336180Z"
"assets/audio/dark-theme.mp3","False","8477884","2026-09-24T16:45:01.6180860Z"
"assets/audio/README.txt","False","194","2026-09-24T16:19:40.1587680Z"
"assets/audio/river.mp3","False","352183","2026-09-24T16:45:01.6764540Z"
"assets/audio/waterfall.mp3","False","280503","2026-09-24T16:45:01.7125040Z"
"assets/scenes/CREDITS.md","False","762","2026-09-26T01:55:46.1145590Z"
"assets/scenes/LIVING_SCENES_SOURCES.md","False","1915","2026-09-26T01:55:46.1295810Z"
"assets/scenes/mountain-valley.svg","False","34308","2026-09-26T01:55:46.1448540Z"
"assets/scenes/webb-cosmic-cliffs.webp","False","295192","2026-09-26T01:55:46.1614520Z"
"assets/fonts/dm-sans-400.ttf","False","48280","2026-09-26T01:55:45.7739680Z"
"assets/fonts/dm-sans-500.ttf","False","48308","2026-09-26T01:55:45.7895660Z"
"assets/fonts/dm-sans-600.ttf","False","48280","2026-09-26T01:55:45.8047690Z"
"assets/fonts/dm-sans-700.ttf","False","48200","2026-09-26T01:55:45.8216400Z"
"assets/fonts/dmsans-OFL.txt","False","4482","2026-09-26T01:55:45.8384710Z"
"assets/fonts/fonts.css","False","1377","2026-09-26T01:55:45.8540480Z"
"assets/fonts/manrope-400.ttf","False","94972","2026-09-26T01:55:45.8702450Z"
"assets/fonts/manrope-500.ttf","False","95060","2026-09-26T01:55:45.8870760Z"
"assets/fonts/manrope-600.ttf","False","95096","2026-09-26T01:55:45.9033850Z"
"assets/fonts/manrope-700.ttf","False","94928","2026-09-26T01:55:45.9209150Z"
"assets/fonts/manrope-800.ttf","False","95688","2026-09-26T01:55:45.9374170Z"
"assets/fonts/manrope-OFL.txt","False","4387","2026-09-26T01:55:45.9529170Z"
"project-sources/evil-wizard","True",,"2026-09-23T11:45:27.8765070Z"
"project-sources/evil-wizard/scripts","True",,"2026-09-23T11:45:27.9031460Z"
"project-sources/evil-wizard/project.godot","False","8169","2026-09-23T11:45:27.8731110Z"
"project-sources/evil-wizard/README-source.md","False","23478","2026-09-23T11:45:27.8574370Z"
"project-sources/evil-wizard/README.md","False","960","2026-09-23T11:45:27.8654750Z"
"project-sources/evil-wizard/scripts/game.gd","False","95806","2026-09-23T11:45:27.8829130Z"
"project-sources/evil-wizard/scripts/movement_lab.gd","False","6549","2026-09-23T11:45:27.8927990Z"
"project-sources/evil-wizard/scripts/player.gd","False","115701","2026-09-23T11:45:27.8997830Z"
"labs/emergent.js","False","4780","2026-09-26T01:55:47.9961020Z"
"labs/emergent.mjs","False","4780","2026-09-23T22:50:20.6386080Z"
"labs/qpe.js","False","3883","2026-09-26T01:55:48.0104490Z"
"labs/qpe.mjs","False","3883","2026-09-23T22:50:20.6410240Z"
"backup-20260923-1119/site-resilience.css","False","4613","2026-09-23T11:45:27.9845260Z"
"backup-20260923-1119/site-resilience.js","False","2250","2026-09-23T11:45:27.9932160Z"
"Joshua_Randall_Knowledge_Platform_v0.3.0/public_html","True",,"2026-09-07T07:16:06.7527420Z"
"Joshua_Randall_Knowledge_Platform_v0.3.0/build_data.py","False","261822","2026-09-07T07:16:03.1448530Z"
"Joshua_Randall_Knowledge_Platform_v0.3.0/README_FIRST.txt","False","2943","2026-09-07T07:16:02.1234910Z"
"Joshua_Randall_Knowledge_Platform_v0.3.0/RELEASE_NOTES_v0.3.0.txt","False","1014","2026-09-07T07:16:02.5273790Z"
"Joshua_Randall_Knowledge_Platform_v0.3.0/VALIDATION_v0.3.0.txt","False","1373","2026-09-07T07:16:03.5556160Z"
"Joshua_Randall_Knowledge_Platform_v0.3.0/public_html/index.html","False","15585","2026-09-07T07:16:04.0138700Z"
"Joshua_Randall_Knowledge_Platform_v0.3.0/public_html/knowledge-data.js","False","329354","2026-09-07T07:16:06.0012070Z"
"Joshua_Randall_Knowledge_Platform_v0.3.0/public_html/knowledge.css","False","32910","2026-09-07T07:16:06.4677040Z"
"Joshua_Randall_Knowledge_Platform_v0.3.0/public_html/knowledge.js","False","70936","2026-09-07T07:16:04.5373930Z"
"Joshua_Randall_Knowledge_Platform_v0.3.0/public_html/learn.html","False","12448","2026-09-24T16:05:37.3823340Z"
"Joshua_Randall_Knowledge_Platform_v0.3.0/public_html/projects.html","False","19175","2026-09-07T07:16:05.0004730Z"
"Joshua_Randall_Knowledge_Platform_v0.3.0/public_html/README_KNOWLEDGE_PLATFORM.txt","False","2943","2026-09-07T07:16:05.4175530Z"
"games/3d-battle-chess","True",,"2026-09-24T14:57:58.0591020Z"
"games/3d-battle-chess-v8","True",,"2026-09-23T10:41:55.1270870Z"
"games/battle-chess","True",,"2026-09-23T11:45:27.2147180Z"
"games/evil-wizard","True",,"2026-09-24T21:58:55.8696080Z"
"games/evil-wizard-adaptive-preview-v23","True",,"2026-09-23T11:16:28.2380870Z"
"games/evil-wizard-console-20260922","True",,"2026-09-22T19:40:14.0552280Z"
"games/evil-wizard-preview-20260922-163345","True",,"2026-09-22T23:33:46.0342790Z"
"games/evil-wizard-preview-20260922-163345/console-champions.js","False","9430","2026-09-22T23:33:45.8322070Z"
"games/evil-wizard-preview-20260922-163345/console.html","False","13233","2026-09-22T23:33:45.8365330Z"
"games/evil-wizard-preview-20260922-163345/index.apple-touch-icon.png","False","11944","2026-09-22T23:33:45.8405610Z"
"games/evil-wizard-preview-20260922-163345/index.audio.position.worklet.js","False","2973","2026-09-22T23:33:45.8439830Z"
"games/evil-wizard-preview-20260922-163345/index.audio.worklet.js","False","7298","2026-09-22T23:33:45.8475260Z"
"games/evil-wizard-preview-20260922-163345/index.html","False","5454","2026-09-22T23:33:45.8511870Z"
"games/evil-wizard-preview-20260922-163345/index.icon.png","False","5700","2026-09-22T23:33:45.8549490Z"
"games/evil-wizard-preview-20260922-163345/index.js","False","279815","2026-09-22T23:33:45.8599940Z"
"games/evil-wizard-preview-20260922-163345/index.pck","False","4378404","2026-09-22T23:33:45.8929880Z"
"games/evil-wizard-preview-20260922-163345/index.png","False","21443","2026-09-22T23:33:45.9029040Z"
"games/evil-wizard-preview-20260922-163345/index.wasm","False","39514754","2026-09-22T23:33:46.0639130Z"
"games/battle-chess/arena.js","False","20236","2026-09-23T11:45:27.2042180Z"
"games/battle-chess/index.html","False","7092","2026-09-23T11:45:27.2124420Z"
"games/3d-battle-chess-v8/combat-v8","True",,"2026-09-23T10:41:57.0894740Z"
"games/3d-battle-chess-v8/index.html","False","2180","2026-09-23T10:41:54.7214440Z"
"games/3d-battle-chess-v8/pieces.js","False","7347","2026-09-23T10:41:55.1287390Z"
"games/3d-battle-chess-v8/v8-preview.css","False","2250","2026-09-23T10:41:54.8659480Z"
"games/3d-battle-chess-v8/v8-preview.js","False","4459","2026-09-23T10:41:54.9923500Z"
"games/3d-battle-chess-v8/combat-v8/animation-runtime.js","False","2287","2026-09-23T10:41:55.7935290Z"
"games/3d-battle-chess-v8/combat-v8/attack-executor.js","False","3501","2026-09-23T10:41:56.5280740Z"
"games/3d-battle-chess-v8/combat-v8/attacks.js","False","5672","2026-09-23T10:41:55.4063960Z"
"games/3d-battle-chess-v8/combat-v8/character-definitions.js","False","5385","2026-09-23T10:41:55.2676150Z"
"games/3d-battle-chess-v8/combat-v8/character-factory.js","False","3640","2026-09-23T10:41:56.2343140Z"
"games/3d-battle-chess-v8/combat-v8/character-visuals.js","False","8879","2026-09-23T10:41:56.6667620Z"
"games/3d-battle-chess-v8/combat-v8/choreography.js","False","5591","2026-09-23T10:41:56.8215740Z"
"games/3d-battle-chess-v8/combat-v8/collision.js","False","1084","2026-09-23T10:41:55.6687340Z"
"games/3d-battle-chess-v8/combat-v8/combat-director.js","False","4152","2026-09-23T10:41:56.3860120Z"
"games/3d-battle-chess-v8/combat-v8/defeat-choreography.js","False","976","2026-09-23T10:41:56.9625900Z"
"games/3d-battle-chess-v8/combat-v8/effects.js","False","9126","2026-09-23T10:41:57.0911890Z"
"games/3d-battle-chess-v8/combat-v8/physics.js","False","765","2026-09-23T10:41:55.9332850Z"
"games/3d-battle-chess-v8/combat-v8/reactions.js","False","1492","2026-09-23T10:41:55.5343020Z"
"games/3d-battle-chess-v8/combat-v8/rig-types.js","False","8049","2026-09-23T10:41:56.0790270Z"
"games/evil-wizard/.htaccess","False","476","2026-09-24T21:58:55.7296920Z"
"games/evil-wizard/console-champions.js","False","3323","2026-09-24T21:58:55.7390990Z"
"games/evil-wizard/console.html","False","18101","2026-09-24T21:58:55.7342000Z"
"games/evil-wizard/index.apple-touch-icon.png","False","11944","2026-09-24T21:58:55.7430340Z"
"games/evil-wizard/index.audio.position.worklet.js","False","2973","2026-09-24T21:58:55.7472540Z"
"games/evil-wizard/index.audio.worklet.js","False","7298","2026-09-24T21:58:55.7516060Z"
"games/evil-wizard/index.html","False","5454","2026-09-24T21:58:55.7555660Z"
"games/evil-wizard/index.icon.png","False","5700","2026-09-24T21:58:55.7597670Z"
"games/evil-wizard/index.js","False","279815","2026-09-24T21:58:55.7640700Z"
"games/evil-wizard/index.pck","False","4398232","2026-09-24T21:58:55.7715650Z"
"games/evil-wizard/index.png","False","21443","2026-09-24T21:58:55.7820790Z"
"games/evil-wizard/index.wasm","False","39514754","2026-09-24T21:58:55.8160080Z"
"games/evil-wizard/play.html","False","23930","2026-09-24T21:58:55.8714200Z"
"games/evil-wizard-console-20260922/console-champions.js","False","2619","2026-09-22T19:52:16.0000000Z"
"games/evil-wizard-console-20260922/console.html","False","13233","2026-09-22T19:52:16.0000000Z"
"games/evil-wizard-console-20260922/index.apple-touch-icon.png","False","11944","2026-09-22T19:52:16.0000000Z"
"games/evil-wizard-console-20260922/index.audio.position.worklet.js","False","2973","2026-09-22T19:52:16.0000000Z"
"games/evil-wizard-console-20260922/index.audio.worklet.js","False","7298","2026-09-22T19:52:16.0000000Z"
"games/evil-wizard-console-20260922/index.html","False","5454","2026-09-22T19:52:16.0000000Z"
"games/evil-wizard-console-20260922/index.icon.png","False","5700","2026-09-22T19:52:16.0000000Z"
"games/evil-wizard-console-20260922/index.js","False","279815","2026-09-22T19:52:16.0000000Z"
"games/evil-wizard-console-20260922/index.pck","False","4375160","2026-09-22T19:52:16.0000000Z"
"games/evil-wizard-console-20260922/index.png","False","21443","2026-09-22T19:52:16.0000000Z"
"games/evil-wizard-console-20260922/index.wasm","False","39514754","2026-09-22T19:52:16.0000000Z"
"games/3d-battle-chess/_before_2d3d_fix_20260924-064833","True",,"2026-09-24T13:48:33.6818790Z"
"games/3d-battle-chess/_before_2d3d_fix_20260924-064922","True",,"2026-09-24T13:49:22.1975210Z"
"games/3d-battle-chess/combat-v8","True",,"2026-09-23T11:05:26.9871560Z"
"games/3d-battle-chess/attacks.js","False","5990","2026-09-22T11:56:07.4410850Z"
"games/3d-battle-chess/audio.js","False","4684","2026-09-23T08:48:20.0652290Z"
"games/3d-battle-chess/battle.js","False","13496","2026-09-24T14:57:58.0498890Z"
"games/3d-battle-chess/battle.js.bak","False","12557","2026-09-24T12:35:51.7571630Z"
"games/3d-battle-chess/boot.js","False","1245","2026-09-24T14:57:58.0246070Z"
"games/3d-battle-chess/castle-controls.js","False","1388","2026-09-22T21:59:36.1461410Z"
"games/3d-battle-chess/characters.js","False","4859","2026-09-22T19:57:15.1932540Z"
"games/3d-battle-chess/combat-physics.js","False","3215","2026-09-22T22:28:18.1380850Z"
"games/3d-battle-chess/combatants.js","False","4368","2026-09-22T22:28:17.9991170Z"
"games/3d-battle-chess/CREDITS.md","False","949","2026-09-23T11:45:27.0941240Z"
"games/3d-battle-chess/DEPLOYMENT.md","False","3539","2026-09-23T11:45:27.1043430Z"
"games/3d-battle-chess/duels-physics.js","False","12085","2026-09-22T22:28:17.8702690Z"
"games/3d-battle-chess/duels-v8.js","False","5789","2026-09-23T11:05:24.9052010Z"
"games/3d-battle-chess/duels.js","False","139","2026-09-22T22:28:17.7350850Z"
"games/3d-battle-chess/engine.js","False","8547","2026-09-23T11:45:27.1527610Z"
"games/3d-battle-chess/fallback-board.js","False","5159","2026-09-24T14:57:58.0380890Z"
"games/3d-battle-chess/fallback.css","False","2006","2026-09-23T11:45:27.1721800Z"
"games/3d-battle-chess/index.before-navigation.html","False","3104","2026-09-22T09:44:27.0000000Z"
"games/3d-battle-chess/index.html","False","3496","2026-09-24T14:57:58.0560840Z"
"games/3d-battle-chess/index.html.bak","False","3447","2026-09-24T12:35:51.7499460Z"
"games/3d-battle-chess/pieces.js","False","7347","2026-09-22T19:57:15.0952360Z"
"games/3d-battle-chess/README.md","False","1982","2026-09-23T11:45:27.1138180Z"
"games/3d-battle-chess/shared-game.js","False","74","2026-09-24T14:57:58.0449670Z"
"games/3d-battle-chess/SOURCE_COMMIT.txt","False","192","2026-09-23T11:45:27.1239630Z"
"games/3d-battle-chess/styles.before-navigation.css","False","3868","2026-09-22T09:44:27.0000000Z"
"games/3d-battle-chess/styles.css","False","4800","2026-09-24T13:18:12.1930770Z"
"games/3d-battle-chess/_before_2d3d_fix_20260924-064922/battle.js","False","12557","2026-09-24T12:51:35.5731980Z"
"games/3d-battle-chess/_before_2d3d_fix_20260924-064922/index.html","False","4767","2026-09-24T13:18:12.1962050Z"
"games/3d-battle-chess/combat-v8/animation-runtime.js","False","2287","2026-09-23T11:05:25.6006970Z"
"games/3d-battle-chess/combat-v8/attack-executor.js","False","3501","2026-09-23T11:05:26.4028950Z"
"games/3d-battle-chess/combat-v8/attacks.js","False","5672","2026-09-23T11:05:25.1657870Z"
"games/3d-battle-chess/combat-v8/character-definitions.js","False","5385","2026-09-23T11:05:25.0391000Z"
"games/3d-battle-chess/combat-v8/character-factory.js","False","3640","2026-09-23T11:05:26.1350100Z"
"games/3d-battle-chess/combat-v8/character-visuals.js","False","8879","2026-09-23T11:05:26.5317940Z"
"games/3d-battle-chess/combat-v8/choreography.js","False","5591","2026-09-23T11:05:26.6761330Z"
"games/3d-battle-chess/combat-v8/collision.js","False","1084","2026-09-23T11:05:25.4579760Z"
"games/3d-battle-chess/combat-v8/combat-director.js","False","4152","2026-09-23T11:05:26.2784890Z"
"games/3d-battle-chess/combat-v8/defeat-choreography.js","False","976","2026-09-23T11:05:26.8172100Z"
"games/3d-battle-chess/combat-v8/effects.js","False","9126","2026-09-23T11:05:26.9457550Z"
"games/3d-battle-chess/combat-v8/physics.js","False","765","2026-09-23T11:05:25.8264500Z"
"games/3d-battle-chess/combat-v8/reactions.js","False","1492","2026-09-23T11:05:25.3123650Z"
"games/3d-battle-chess/combat-v8/rig-types.js","False","8049","2026-09-23T11:05:25.9600690Z"
"games/3d-battle-chess/_before_2d3d_fix_20260924-064833/battle.js","False","12557","2026-09-24T12:51:35.5731980Z"
"games/3d-battle-chess/_before_2d3d_fix_20260924-064833/index.html","False","4767","2026-09-24T13:18:12.1962050Z"
"games/evil-wizard-adaptive-preview-v23/console-champions.js","False","9430","2026-09-23T11:16:27.8121620Z"
"games/evil-wizard-adaptive-preview-v23/console.html","False","13468","2026-09-23T11:16:27.8172240Z"
"games/evil-wizard-adaptive-preview-v23/index.apple-touch-icon.png","False","11944","2026-09-23T11:16:27.8226980Z"
"games/evil-wizard-adaptive-preview-v23/index.audio.position.worklet.js","False","2973","2026-09-23T11:16:27.8277330Z"
"games/evil-wizard-adaptive-preview-v23/index.audio.worklet.js","False","7298","2026-09-23T11:16:27.8329140Z"
"games/evil-wizard-adaptive-preview-v23/index.html","False","5454","2026-09-23T11:16:27.8375390Z"
"games/evil-wizard-adaptive-preview-v23/index.icon.png","False","5700","2026-09-23T11:16:27.8419040Z"
"games/evil-wizard-adaptive-preview-v23/index.js","False","279815","2026-09-23T11:16:27.8478260Z"
"games/evil-wizard-adaptive-preview-v23/index.pck","False","4385808","2026-09-23T11:16:27.8819360Z"
"games/evil-wizard-adaptive-preview-v23/index.png","False","21443","2026-09-23T11:16:27.9095330Z"
"games/evil-wizard-adaptive-preview-v23/index.wasm","False","39514754","2026-09-23T11:16:28.0719330Z"
"games/evil-wizard-adaptive-preview-v23/play.html","False","3374","2026-09-23T11:16:28.2395650Z"
"_safe_patch_backup_20260924-060626/games","True",,"2026-09-24T13:06:26.7591040Z"
"_safe_patch_backup_20260924-060626/knowledge.css","False","93255","2026-09-24T11:52:23.5682000Z"
"_safe_patch_backup_20260924-060626/learn.html","False","21124","2026-09-24T18:30:50.2974880Z"
"_safe_patch_backup_20260924-060626/play-evil-wizard.html","False","6248","2026-09-24T18:30:50.2948040Z"
"_safe_patch_backup_20260924-060626/project-battle-chess.html","False","7436","2026-09-24T18:30:50.2901200Z"
"_safe_patch_backup_20260924-060626/projects.html","False","14767","2026-09-24T18:30:50.2925280Z"
"_safe_patch_backup_20260924-060626/styles.css","False","20030","2026-09-24T11:52:23.8927140Z"
"_safe_patch_backup_20260924-060626/games/3d-battle-chess","True",,"2026-09-24T13:06:26.7546280Z"
"_safe_patch_backup_20260924-060626/games/evil-wizard","True",,"2026-09-24T13:06:26.7619070Z"
"_safe_patch_backup_20260924-060626/games/evil-wizard/play.html","False","22376","2026-09-23T23:45:16.9015700Z"
"_safe_patch_backup_20260924-060626/games/3d-battle-chess/battle.js","False","12557","2026-09-24T12:51:35.5731980Z"
"_safe_patch_backup_20260924-060626/games/3d-battle-chess/index.html","False","3447","2026-09-24T12:51:13.5716810Z"
"_safe_patch_backup_20260924-060626/games/3d-battle-chess/styles.css","False","3868","2026-09-23T11:45:27.1904810Z"
"site-repair/site-resilience.css","False","1748","2026-09-23T11:45:27.9700910Z"
"site-repair/site-resilience.js","False","2785","2026-09-23T11:45:27.9775790Z"
